Unnamed: 0,wikidata_code,name,gender,un_region,un_subregion,level1_main_occ,level2_main_occ,level3_main_occ,wiki_readers_2015_2018,ranking_visib_5criteria,total_noccur_links_b
170388,Q13909,Angelina_Jolie,Female,America,Northern America,Culture,Culture-core,actor,50690528,68.0,66
112752,Q125106,Salma_Hayek,Female,America,Central America,Culture,Culture-core,actor,20563556,863.0,47
1835912,Q6091,Jessica_Ennis-Hill,Female,Europe,Western Europe,Sports/Games,Sports/Games,athletic,1530893,10409.0,18
279218,Q15897,Amy_Winehouse,Female,Europe,Western Europe,Culture,Culture-core,singer,27930064,286.0,48
530199,Q182580,Shirley_Temple,Female,America,Northern America,Culture,Culture-core,actor,8803637,659.0,53
466311,Q172044,Jennifer_Garner,Female,America,Northern America,Culture,Culture-core,actor,17308172,965.0,43
763064,Q228616,Marta_(footballer),Female,America,South America,Sports/Games,Sports/Games,football,2303523,9743.0,17
763020,Q228559,Evonne_Goolagong_Cawley,Female,Oceania,Oceania Western World,Sports/Games,Sports/Games,player,657113,10673.5,19
782463,Q233638,Dolley_Madison,Female,America,Northern America,Leadership,Politics,politician,762078,9396.0,26
570748,Q189490,Jennifer_Lawrence,Female,America,Northern America,Culture,Culture-core,actor,44577104,230.0,54
913579,Q270760,Aya_Sameshima,Female,Asia,Eastern Asia,Sports/Games,Sports/Games,football,320816,31317.0,13
479141,Q173540,Margaret_Mitchell,Female,America,Northern America,Culture,Culture-core,writer,1460607,2881.0,56
140923,Q133009,Gro_Harlem_Brundtland,Female,Europe,Northern Europe,Leadership,Politics,politician,759199,6470.0,27
576781,Q191064,Liv_Ullmann,Female,Europe,Northern Europe,Culture,Culture-core,writer,1798812,2702.0,52
2181414,Q78469,Romy_Schneider,Female,Europe,Western Europe,Culture,Culture-core,actor,9926863,1055.0,49
28309,Q104372,Doris_Day,Female,America,Northern America,Culture,Culture-core,actor,9473243,710.0,52
964564,Q283361,Ruth_Beitia,Female,Europe,Southern Europe,Sports/Games,Sports/Games,athletic,646490,35963.0,10
634763,Q199884,Anna_Paquin,Female,America,Northern America,Culture,Culture-core,actor,8090071,1486.0,37
1381034,Q452229,Dafne_Schippers,Female,Europe,Western Europe,Sports/Games,Sports/Games,athletic,2221766,9973.0,18
764928,Q229351,Tamara_de_Lempicka,Female,Europe,Eastern Europe,Culture,Culture-core,painter,2359952,4626.0,40
120511,Q127332,Charlotte_Brontë,Female,Europe,Western Europe,Culture,Culture-core,writer,4393252,1398.0,88
97193,Q122020,Hilary_Duff,Female,America,Northern America,Culture,Culture-core,actor,13079689,361.0,55
1462532,Q48283,Yulia_Tymoshenko,Female,Europe,Eastern Europe,Leadership,Politics,politician,3521349,3560.0,24
1453186,Q47899,Paris_Hilton,Female,America,Northern America,Culture,Culture-core,actor,16088814,431.0,50
1067640,Q3077997,Katarina_Johnson-Thompson,Female,Europe,Western Europe,Sports/Games,Sports/Games,athletic,969761,40797.5,10
567437,Q189067,Alyssa_Milano,Female,America,Northern America,Culture,Culture-core,actor,10635896,1317.0,47
765247,Q229470,Tatyana_Lebedeva,Female,Europe,Eastern Europe,Sports/Games,Sports/Games,athletic,130021,43915.0,11
2223635,Q81819,Monica_Bellucci,Female,Europe,Southern Europe,Culture,Culture-core,actor,21514846,1117.5,43
130328,Q129429,Vivien_Leigh,Female,Europe,Western Europe,Culture,Culture-core,actor,8716370,481.0,58
1512222,Q50002,Emma_Bonino,Female,Europe,Southern Europe,Leadership,Politics,politician,990939,9157.0,22
1187622,Q34424,Shakira,Female,America,South America,Culture,Culture-core,singer,37896596,450.0,42
296799,Q160009,Pink_(singer),Female,America,Northern America,Culture,Culture-core,singer,14869215,1082.0,36
1972581,Q67488,Christina_Schwanitz,Female,Europe,Western Europe,Sports/Games,Sports/Games,athletic,278128,35604.0,12
789441,Q236038,Sofonisba_Anguissola,Female,Europe,Southern Europe,Culture,Culture-core,painter,544854,7338.0,40
777536,Q230733,Dianne_Feinstein,Female,America,Northern America,Leadership,Politics,politician,3652355,3901.0,30
377421,Q1631,Édith_Piaf,Female,Europe,Western Europe,Culture,Culture-core,singer,10941881,325.5,64
217327,Q151231,Annie_Lennox,Female,Europe,Western Europe,Culture,Culture-core,singer,5262187,1482.0,45
1323374,Q41076,Mariah_Carey,Female,America,Northern America,Culture,Culture-core,singer,24272400,247.0,50
137709,Q131814,Tina_Turner,Female,America,Northern America,Culture,Culture-core,singer,18530832,390.0,54
647231,Q202342,Margaret_Court,Female,Oceania,Oceania Western World,Sports/Games,Sports/Games,player,2613634,6474.5,20
195004,Q14623252,Dina_Asher-Smith,Female,Europe,Western Europe,Sports/Games,Sports/Games,athletic,483650,32710.0,12
1230565,Q36301,Anne_Hathaway,Female,America,Northern America,Culture,Culture-core,actor,26827990,260.0,64
520043,Q181659,Ursula_K._Le_Guin,Female,America,Northern America,Culture,Culture-core,writer,3211772,1020.0,52
1912756,Q62919,Alice_Schwarzer,Female,Europe,Western Europe,Culture,Culture-periphery,journalist,600140,20490.0,20
763283,Q228733,Lea_Michele,Female,America,Northern America,Culture,Culture-core,actor,8223551,1465.5,40
1913439,Q6294,Hillary_Clinton,Female,America,Northern America,Leadership,Politics,politician,40888932,25.0,85
