F1,NDCG,MAP
0.5720613743442521,0.5782148040485755,0.6525366771759287
0.5334564924052957,0.6486089654839586,0.6103435159570926
0.6715385593503891,0.5879644428867965,0.5612189577960714
0.5373953935198462,0.558793827329144,0.5089037725450777
0.5554804920789091,0.6284066358865443,0.49094243509964897
0.6291240558530782,0.6006379158353082,0.5426047106343459
0.504538379757188,0.6594530362912272,0.5615795234507452
0.5204181671034857,0.5963203340625579,0.467544093577826
0.5593801612918519,0.4570156016688722,0.4953162479578905
0.5335065021110321,0.6394683202089989,0.5951824232654119
0.49036176937890974,0.5061129558026368,0.5595503830981111
0.5397561744706206,0.6769378072704518,0.5422584704794373
0.5320585526499378,0.6910682369292034,0.5596240417398908
0.5801735801304748,0.578648430704759,0.5393687619446847
0.4667605735264153,0.5417649044942302,0.6263758103958486
0.5149910481155024,0.5301462987665869,0.661997703310938
0.6075695504743586,0.6436327310625916,0.683680776432838
0.6428665503615656,0.5898940911189765,0.6154898929896905
0.47444102211558176,0.5700820033288932,0.6173576296104848
0.582242375544639,0.5878290149376872,0.6531547739836678
0.5009696057390689,0.7044257343798858,0.6669224407118839
0.5071573422641955,0.6173459663543873,0.653260244221657
0.5064060408372174,0.6372863475016227,0.6406141702772172
0.5288746035418803,0.6388453795561505,0.5482673750191692
0.5998219913456682,0.6509210566593974,0.5000150748055879
0.5856210635438285,0.6530675719343689,0.6238576406093371
0.5529572121609521,0.5644766776502012,0.5753083775666978
0.5318344560759042,0.589240609878818,0.5772164482656043
0.5501644421467056,0.5619619845702155,0.5355289632944181
0.5447034778971289,0.5644418385847465,0.5149524274152228
0.5896526659730985,0.6570753868717335,0.6501083310187923
0.5184214185103893,0.574912222640275,0.6032550496856848
0.5496902545757121,0.5960424319408428,0.5267483690308996
0.5449466194095378,0.5653586828997088,0.5995210304022444
0.5473845924574071,0.5703298614478443,0.5952800086104164
0.5624608829282455,0.639411897176984,0.6060924745158165
0.5598830045521249,0.5777285004250697,0.6916635406872449
0.6167424287120792,0.575893990664639,0.578264894938467
0.5456562196861182,0.6246778830475714,0.5160188408867704
0.6280766146724446,0.6250243663748517,0.5818271320743627
0.5347073489416685,0.6396211308653317,0.5476821707238096
0.5261134291360894,0.6085382226232783,0.6074283918428286
0.5550369094376426,0.5123129569761476,0.5905271228014144
0.5677719236174676,0.631514823829475,0.5973250875237993
0.5634806203223351,0.6249164607350128,0.5516474415866404
0.6145981691693982,0.6509068804782304,0.6006839404171558
0.6069671489412642,0.557676569156086,0.5544871971961857
0.5747220199060544,0.7260403817077495,0.6058629677358107
0.5331831870431724,0.5383806942598363,0.5649497435807926
0.5449692826846446,0.63634766303449,0.5240796784359314
0.6206699008960892,0.6022977612051145,0.6049261811809281
0.56106270614255,0.5756433677244402,0.5446953065031329
0.48446134333101276,0.640806618057832,0.652194055168807
0.515521738397591,0.5859284939394166,0.6021478130431968
0.5211243383384296,0.4832189089528048,0.6033852607314383
0.6076102385187838,0.5416360775144913,0.5850672395071024
0.5446418007587926,0.622882903579316,0.5770324009561093
0.6630053386860135,0.7118982805868135,0.4606651127810311
0.5828309735130214,0.5259370399261996,0.641108527843904
0.5562403412665098,0.5991527341136154,0.5393043996126722
