entity,fmeasure
118,0.3
119,0.26666666666666666
166,0.3166666666666667
167,0.13333333333333336
170,0.3166666666666667
123,0.13333333333333336
124,0.1666666666666667
131,0.23333333333333336
133,0.18333333333333338
140,0.20000000000000004
101,0.20000000000000004
108,0.21666666666666667
109,0.41666666666666674
112,0.26666666666666666
116,0.4833333333333334
132,0.3333333333333334
135,0.15
139,0.13333333333333336
174,0.3333333333333333
175,0.3666666666666667
107,0.10000000000000002
110,0.48333333333333334
113,0.25
115,0.15000000000000005
120,0.5
125,0.30000000000000004
128,0.26666666666666666
130,0.26666666666666666
134,0.3333333333333333
137,0.4166666666666667
102,0.26666666666666666
104,0.18333333333333335
105,0.2333333333333333
106,0.13333333333333336
111,0.4166666666666667
121,0.3
122,0.26666666666666666
171,0.35000000000000003
172,0.18333333333333335
173,0.35000000000000003
103,0.5
114,0.21666666666666667
117,0.4166666666666667
168,0.10000000000000002
169,0.43333333333333335
126,0.45
127,0.25
129,0.25000000000000006
136,0.03333333333333334
138,0.18333333333333335
