entity,fmeasure
7,0.2333333333333333
16,0.38333333333333336
17,0.06666666666666668
18,0.08333333333333336
20,0.4166666666666667
23,0.25
28,0.25
40,0.2833333333333334
42,0.19999999999999998
46,0.6
4,0.3166666666666667
10,0.23333333333333336
11,0.25000000000000006
14,0.35000000000000003
24,0.3833333333333333
33,0.21666666666666667
35,0.15000000000000002
44,0.4000000000000001
47,0.3
49,0.3333333333333334
13,0.18333333333333335
15,0.2833333333333333
19,0.2833333333333334
22,0.2833333333333334
27,0.08333333333333333
31,0.2333333333333333
36,0.18333333333333335
39,0.23333333333333336
48,0.30000000000000004
50,0.30000000000000004
5,0.18333333333333335
6,0.13333333333333336
9,0.26666666666666666
12,0.35000000000000003
21,0.3666666666666667
26,0.1666666666666667
29,0.20000000000000004
30,0.23333333333333336
34,0.3333333333333333
38,0.3500000000000001
1,0.38333333333333336
2,0.26666666666666666
3,0.13333333333333333
8,0.35000000000000003
25,0.23333333333333336
32,0.26666666666666666
37,0.3166666666666667
41,0.26666666666666666
43,0.2833333333333334
45,0.35000000000000003
