entity,fmeasure
1,0.43333333333333335
5,0.20087719298245618
8,0.05000000000000001
10,0.20000000000000004
143,0.05000000000000001
43,0.15000000000000002
46,0.3500000000000001
95,0.38333333333333336
161,0.3666666666666667
164,0.3166666666666667
15,0.48333333333333334
19,0.3333333333333333
65,0.55
148,0.38333333333333336
150,0.39999999999999997
36,0.13333333333333333
37,0.5333333333333333
38,0.5333333333333333
90,0.3666666666666667
158,0.4166666666666667
21,0.3
25,0.30000000000000004
72,0.3166666666666667
73,0.3166666666666667
155,0.43333333333333335
2,0.08333333333333336
51,0.08333333333333336
52,0.15000000000000002
58,0.10000000000000002
142,0.18333333333333335
41,0.3333333333333333
47,0.1666666666666667
49,0.35000000000000003
92,0.18333333333333335
163,0.20000000000000004
16,0.20000000000000004
18,0.4000000000000001
70,0.23333333333333336
147,0.21666666666666667
149,0.39999999999999997
31,0.23333333333333336
34,0.65
39,0.3333333333333333
83,0.46666666666666673
157,0.2666666666666667
22,0.30000000000000004
27,0.3333333333333333
29,0.1666666666666667
75,0.4333333333333334
153,0.2666666666666667
3,0.18333333333333335
6,0.25000000000000006
7,0.2166666666666667
59,0.1666666666666667
141,0.21666666666666667
45,0.39999999999999997
48,0.2833333333333334
96,0.13333333333333336
97,0.39999999999999997
165,0.2166666666666667
13,0.44999999999999996
14,0.25000000000000006
61,0.23333333333333336
67,0.3166666666666667
68,0.48333333333333334
33,0.3666666666666667
35,0.26666666666666666
81,0.3333333333333333
85,0.46666666666666673
159,0.45
26,0.3166666666666667
74,0.26666666666666666
78,0.15000000000000005
80,0.3333333333333333
151,0.4833333333333334
9,0.46666666666666673
53,0.35000000000000003
55,0.21666666666666667
56,0.08333333333333333
57,0.20000000000000004
44,0.25000000000000006
50,0.5166666666666667
94,0.35000000000000003
98,0.21666666666666667
100,0.35000000000000003
20,0.48333333333333334
62,0.20000000000000004
63,0.3666666666666667
69,0.2833333333333334
146,0.5333333333333333
32,0.4166666666666667
82,0.43333333333333335
87,0.38333333333333336
88,0.2833333333333334
89,0.4833333333333334
30,0.41666666666666674
76,0.3666666666666667
77,0.1666666666666667
79,0.25
152,0.2166666666666667
4,0.2692982456140351
54,0.08333333333333336
60,0.08333333333333336
144,0.13333333333333336
145,0.2833333333333334
42,0.20000000000000004
91,0.5
93,0.25000000000000006
99,0.38333333333333336
162,0.1166666666666667
11,0.3
12,0.4000000000000001
17,0.25
64,0.35000000000000003
66,0.5
40,0.49999999999999994
84,0.5000000000000001
86,0.6166666666666667
156,0.4166666666666667
160,0.4000000000000001
23,0.4166666666666667
24,0.3500000000000001
28,0.44999999999999996
71,0.25000000000000006
154,0.06666666666666668
