,wikidata_code,name,gender,un_region,un_subregion,level1_main_occ,level2_main_occ,level3_main_occ,wiki_readers_2015_2018,ranking_visib_5criteria,total_noccur_links_b
1052293,Q303,Elvis_Presley,Male,America,Northern America,Culture,Culture-core,actor,46304640,10.0,97
2291069,Q9960,Ronald_Reagan,Male,America,Northern America,Culture,Culture-core,actor,37631824,20.0,81
2240770,Q882,Charlie_Chaplin,Male,Europe,Western Europe,Culture,Culture-core,film,30305712,23.0,92
1391415,Q4616,Marilyn_Monroe,Female,America,Northern America,Culture,Culture-core,actor,43262260,34.0,84
903948,Q2685,Arnold_Schwarzenegger,Male,Europe,Western Europe,Culture,Culture-core,actor,49880844,56.0,72
170388,Q13909,Angelina_Jolie,Female,America,Northern America,Culture,Culture-core,actor,50690528,68.0,66
2106867,Q7374,Alfred_Hitchcock,Male,Europe,Western Europe,Culture,Culture-core,film,13669537,76.5,88
1190218,Q34660,J._K._Rowling,Female,Europe,Western Europe,Culture,Culture-core,film,26357860,79.0,70
850928,Q25089,Woody_Allen,Male,America,Northern America,Culture,Culture-core,film,20565612,82.5,91
1321902,Q40912,Frank_Sinatra,Male,America,Northern America,Culture,Culture-core,actor,27605594,82.5,80
2237779,Q873,Meryl_Streep,Female,America,Northern America,Culture,Culture-core,actor,28552612,86.0,69
1713944,Q5603,Andy_Warhol,Male,America,Northern America,Culture,Culture-core,film,20733836,87.0,112
1246729,Q37175,Johnny_Depp,Male,America,Northern America,Culture,Culture-core,film,57327096,99.0,68
2242690,Q8877,Steven_Spielberg,Male,America,Northern America,Culture,Culture-core,film,12489638,100.0,89
1176973,Q34012,Marlon_Brando,Male,America,Northern America,Culture,Culture-core,actor,22819020,112.0,65
635837,Q2001,Stanley_Kubrick,Male,America,Northern America,Culture,Culture-core,film,16390247,114.0,77
2136104,Q7542,Prince_(musician),Male,America,Northern America,Culture,Culture-core,actor,46583648,117.0,68
1205929,Q35332,Brad_Pitt,Male,America,Northern America,Culture,Culture-core,actor,43640892,126.0,58
1352482,Q43203,Clint_Eastwood,Male,America,Northern America,Culture,Culture-core,actor,37866456,138.0,57
1320204,Q40715,Jennifer_Lopez,Female,America,Northern America,Culture,Culture-core,actor,20264552,139.0,61
1187849,Q34436,Scarlett_Johansson,Female,America,Northern America,Culture,Culture-core,actor,47599048,143.0,58
1265926,Q3772,Quentin_Tarantino,Male,America,Northern America,Culture,Culture-core,actor,33523964,149.0,62
91554,Q12003,Cher,Female,America,Northern America,Culture,Culture-core,actor,22770646,155.0,60
1346345,Q42786,Audrey_Hepburn,Female,Europe,Western Europe,Culture,Culture-core,actor,30709368,158.5,65
1275379,Q38111,Leonardo_DiCaprio,Male,America,Northern America,Culture,Culture-core,actor,69849984,162.0,58
1241470,Q36949,Robert_De_Niro,Male,America,Northern America,Culture,Culture-core,film,31410870,176.0,59
757192,Q2263,Tom_Hanks,Male,America,Northern America,Culture,Culture-core,actor,17146252,188.0,69
1713610,Q56016,Katharine_Hepburn,Female,America,Northern America,Culture,Culture-core,actor,12600853,193.5,65
887719,Q2632,Ringo_Starr,Male,Europe,Western Europe,Culture,Culture-core,actor,14092724,195.0,64
